FP_R_DOOR_CMD;1;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;;;;;
DOORBELL_CNT;1;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;;;;;
EXT_DOORBELL_CNT;1;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;;;;;
INT_DOORBELL_CNT;1;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;;;;;
DEADMAN_OPEN_DOOR_CMD;1;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;;;;;
DEADMAN_CLOSE_DOOR_CMD;1;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;;;;;
O_SEQUENCED_DOOR_CMD;1;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;;;;;
PO_SEQUENCED_DOOR_CMD;1;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;;;;;
CMD_CALENDAR_ACK;4;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\model\calendar\CalendarRTCManager.java;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\model\settings\VersionNumber.java;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\BleDoorService.java;;
AUX_DOOR_CMD;2;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\BleDoorService.java;;;;
AUXF_DOOR_CMD;2;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\BleDoorService.java;;;;
AUXO_DOOR_CMD;2;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\BleDoorService.java;;;;
AUX_ENABLE_CMD;2;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\enums\Command.java;C:\DEV\15986_PORTALP_RS_installer_app\android\portalpcomlibrary\src\main\java\com\portalp\com_library\ble\BleDoorService.java;;;;
